face_id,event_id,type,dHash
Event_LopTai__835a0673e32590c294e708c18934a02a__face01,Event_LopTai,near_duplicate,0101101100111001011100010111010111010101110001011101010101100001
Event_LopTai__835a0673e32590c294e708c18934a02a__face02,Event_LopTai,near_duplicate,0011100101110000111000101001001111110010110011001100010111100001
Event_LopTai__8c1b89070bc3822ceb3ae11429aebbe3__face02,Event_LopTai,near_duplicate,0011101101110001111000011001001110010011000101110000111000100110
Event_LopTai__8c1b89070bc3822ceb3ae11429aebbe3__face03,Event_LopTai,near_duplicate,0001101100111001011100000111010001010100110001000101010001100000
Event_LopTai__9d9120628a35fdb03cd51cb5d1176ead__face01,Event_LopTai,near_duplicate,1011000001110000011100000111001001010110011011000110111001111000
Event_LopTai__77bcc6a0c14138456cd994f6d031d04b__face01,Event_LopTai,near_duplicate,0011000000110000011100000111001001110110011011000110111001111000
Event_LopTai__77bcc6a0c14138456cd994f6d031d04b__face02,Event_LopTai,near_duplicate,1001101010111010001100000111010011110100111001000111010111110001
Event_LopTai__a7c856020f2964d45f55901933f48512__face02,Event_LopTai,near_duplicate,0011100101110000011100000101001001010100010011000100110010111000
Event_LopTai__0ed5b0095387b466112e57ae364a1466__face01,Event_LopTai,near_duplicate,0001100100111000001110000111011001110110010111000111011001111000
Event_LopTai__0ed5b0095387b466112e57ae364a1466__face02,Event_LopTai,near_duplicate,0110011111100011110100011001010110010101100011010100011100100010
Event_LopTai__b5c17289119e2d3c1cd61754d06ccf53__face01,Event_LopTai,near_duplicate,0110011111100001110100011001010010010101100001010000011100100010
Event_LopTai__b5c17289119e2d3c1cd61754d06ccf53__face02,Event_LopTai,near_duplicate,1001100100111000001110000111011001110100010111000111011001111000
Event_LopTai__a5637e017dd5567db90ccc44558c6e83__face02,Event_LopTai,near_duplicate,1001100100111001001110000111010001110100010111000111011001111000
Event_LopTai__d19e010b4bbd938a240782d244f96e4c__face03,Event_LopTai,near_duplicate,0001101101110001011100000101010011010100110001001101010001100001
Event_LopTai__6afda7a83a5c25e6310cc30a3f2f88eb__face03,Event_LopTai,near_duplicate,0001001100110001011100000101001011010010110111001101010011011000
Event_LopTai__688b6a9de3532b8094b1a3d67fcc5904__face02,Event_LopTai,near_duplicate,0000100100111001011100000101000011010100110001001101010001100001
Event_LopTai__688b6a9de3532b8094b1a3d67fcc5904__face03,Event_LopTai,near_duplicate,0001011101100001111100001101000111010101110001010101011101100010
Event_LopTai__d49f56b1d75b6f18d74124222b68b2a8__face01,Event_LopTai,near_duplicate,0001011111110011011100010111000111110000110001001100010111100001
